BFS Gde-nummer,Kanton,Gemeindename,Name_clean,Wohnpreis (aktuell)    ,Wohnpreis (vgl. Region),Wohnpreis (Entwicklung),Baulandpreis (aktuell) ,Baulandpreis (Entw.)   ,Bevölkerung (Prognose) ,Alterung (Prognose)    ,Beschäftigte (Prognose),Erreichbarkeit ÖV      ,Erreichbarkeit MIV     ,Steuern_DINKs          ,Gemeinde,Innenentwicklungspotenzial
4001,AG,Aarau,Aarau,260,1.1016949152542372,1.0655737704918034,1670,1.0308641975308641,143.258476442096,1.1020138468184932,1.340455419192666,1316202,3733504,0.15144791666666668,Aarau,1.7
4271,AG,Aarburg,Aarburg,221,0.9364406779661016,1.0728155339805825,690,0.9452054794520548,130.99697207581025,1.1976916500962482,0.9937216602720614,1659700,4182637,0.16298125,Aarburg,1.26
4221,AG,Abtwil,Abtwil,237,0.9634146341463414,1.0871559633027523,320,1.7777777777777777,108.92857142857143,1.3512884135128842,0.831858407079646,158118,3040674,0.16125,Abtwil,0.0
4191,AG,Ammerswil,Ammerswil,263,1.1144067796610169,1.2009132420091324,450,1.2857142857142858,112.5935162094763,1.172100432900433,0.9493670886075949,368237,3853431,0.15894409722222222,Ammerswil,0.0
4222,AG,Aristau,Aristau,249,1.0121951219512195,1.1017699115044248,400,1.9047619047619047,108.29694323144105,1.255330867677149,0.873015873015873,783964,3300990,0.15894409722222222,Aristau,0.0
4061,AG,Arni (AG),Arni_AG,275,1.049618320610687,1.1363636363636365,1010,1.216867469879518,96.17513839959739,1.2191382524724355,0.8199052132701423,794037,3809556,0.14395312500000002,Arni (AG),0.18
4091,AG,Auenstein,Auenstein,231,0.9705882352941176,1.1105769230769231,380,0.95,109.46643717728055,1.1829296278031942,0.8258426966292135,919186,3649295,0.14971805555555556,Auenstein,0.0
4223,AG,Auw,Auw,231,0.9390243902439024,1.1,430,0.9772727272727273,110.25641025641026,1.2969808284885929,0.8386363636363636,340115,3011694,0.15721423611111113,Auw,0.0
4021,AG,Baden,Baden,312,1.1142857142857143,1.1063829787234043,2330,1.4294478527607362,118.95359074330273,1.209802483658994,1.2175548341119646,1722108,4122998,0.14914340277777777,Baden,1.16
4131,AG,Beinwil am See,Beinwil_am_See,256,1.0847457627118644,1.1179039301310043,650,1.1206896551724137,134.31029846732991,1.005688070865303,0.8311111111111111,261735,2679281,0.15490833333333334,Beinwil am See,0.02
4022,AG,Bellikon,Bellikon,244,0.9312977099236641,1.0562770562770563,730,0.9358974358974359,94.30379746835443,1.0293314796828479,1.4929775280898878,887008,3667742,0.14741215277777778,Bellikon,0.11
4023,AG,Bergdietikon,Bergdietikon,288,1.099236641221374,1.0472727272727274,1340,1.2523364485981308,116.64998331664998,1.149789005975954,0.9179978700745475,901649,3915228,0.14452951388888888,Bergdietikon,1.32
4062,AG,Berikon,Berikon,270,1.0305343511450382,1.148936170212766,1580,1.264,119.72,1.00815975516697,1.0931966449207828,1181352,3768800,0.14741215277777778,Berikon,0.5
4226,AG,Besenbüren,Besenburen,239,0.9715447154471545,1.0963302752293578,310,1.7222222222222223,114.59968602825745,1.1611707357037524,0.8349514563106796,111053,3337091,0.16125,Besenbüren,0.0
4227,AG,Bettwil,Bettwil,215,0.8739837398373984,1.1025641025641026,160,0.7619047619047619,122.06703910614524,1.1857511785201886,0.9175824175824177,54406,2982163,0.15490833333333334,Bettwil,0.0
4002,AG,Biberstein,Biberstein,277,1.173728813559322,1.053231939163498,980,1.4,97.34459867229934,1.046271932466535,0.8333333333333333,258886,3346491,0.14914340277777777,Biberstein,0.09
4024,AG,Birmenstorf (AG),Birmenstorf_AG,260,0.9285714285714286,1.0612244897959184,1080,1.255813953488372,94.55316373124592,1.2585501589356627,0.9988876529477198,916192,3990460,0.15260034722222224,Birmenstorf (AG),0.17
4092,AG,Birr,Birr,217,0.9117647058823529,1.1243523316062176,550,0.8208955223880597,113.61667010521973,1.1455872819689934,1.4250138350857775,899922,4025759,0.16355381944444444,Birr,1.45
4093,AG,Birrhard,Birrhard,260,1.0924369747899159,1.1659192825112108,630,1.5,141.4860681114551,1.0559833743460367,0.9458333333333333,797812,3935844,0.15894409722222222,Birrhard,0.0
4132,AG,Birrwil,Birrwil,254,1.076271186440678,1.0995670995670996,660,1.5348837209302326,125.53041018387553,0.9787827008803639,0.8541666666666667,289515,2862138,0.15087465277777778,Birrwil,0.0
4192,AG,Boniswil,Boniswil,247,1.0466101694915255,1.0881057268722467,600,1.3043478260869565,138.0225988700565,1.0513030673244292,0.7103448275862069,400212,3212335,0.1566354166666667,Boniswil,0.02
4228,AG,Boswil,Boswil,237,0.9634146341463414,1.1179245283018868,530,0.8983050847457628,128.74116891457933,1.2154089695954786,0.9545836837678722,1288354,3460869,0.15432951388888888,Boswil,0.14
4273,AG,Bottenwil,Bottenwil,214,0.9067796610169492,1.1145833333333333,150,0.7894736842105263,108.92236384704519,1.1930427250019284,0.6875,149790,3799388,0.1647090277777778,Bottenwil,0.0
4063,AG,Bremgarten (AG),Bremgarten_AG,260,0.9923664122137404,1.0924369747899159,1620,1.3278688524590163,123.49227820989742,1.1045846727474657,1.0868865647626709,805146,3656518,0.15202673611111112,Bremgarten (AG),0.91
4274,AG,Brittnau,Brittnau,220,0.9322033898305084,1.0526315789473684,450,1.1538461538461537,119.01359760313436,1.1442401987209068,0.8867562380038387,317500,3894357,0.16182881944444444,Brittnau,0.08
